t,delta,EmergR
1.12,-2.6208,-2.38622624832502
1.14,-2.6676,-2.27308017421061
1.16,-2.71440000000001,-2.16021715334798
1.18,-2.76120000000001,-2.04770992412562
1.2,-2.80800000000001,-1.93563116629813
1.22,-2.85480000000001,-1.82405340660968
1.24,-2.90160000000001,-1.70828590035305
1.26,-2.94840000000001,-1.59346798760105
1.28,-2.99520000000001,-1.48289822332523
1.3,-3.04200000000001,-1.37310607213651
1.32,-3.08880000000001,-1.26416106909915
1.34,-3.13560000000001,-1.15613201325404
1.36,-3.18240000000001,-1.04908686980882
1.38,-3.22920000000001,-0.943092672632424
1.4,-3.27600000000001,-0.838215427258875
1.42,-3.32280000000001,-0.734520014607391
1.44,-3.36960000000001,-0.632070095625819
1.46,-3.41640000000001,-0.530928017064923
1.48,-3.46320000000001,-0.431154718591221
1.5,-3.51000000000001,-0.33280964144474
1.52,-3.55680000000001,-0.235950638847196
1.54,-3.60360000000001,-0.140633888364201
1.56,-3.65040000000001,-0.0469138064226455
1.58,-3.69720000000001,0.0437982011725155
1.6,-3.74400000000001,0.132788477778279
1.62,-3.79080000000001,0.220007589652018
1.64,-3.83760000000001,0.305408179873785
1.66,-3.88440000000001,0.388945040089641
1.68,-3.93120000000001,0.470575179090435
1.7,-3.97800000000001,0.550263158723888
1.72,-4.02480000000001,0.627967776785949
1.74,-4.07160000000001,0.703650444728873
1.76,-4.1184,0.777277655321304
1.78,-4.1652,0.848818406542842
1.8,-4.212,0.91824424715716
1.82,-4.2588,0.985529317961529
1.84,-4.3056,1.05065038859498
1.86,-4.3524,1.09832719764948
1.88,-4.3992,1.14030369005781
1.9,-4.446,1.17987825622225
1.92,-4.4928,1.23615753134751
1.94,-4.5396,1.29019723086537
1.96,-4.5864,1.32789850907753
1.98,-4.6332,1.35877067104738
2,-4.68,1.38719822508094
2.02,-4.7268,1.41318419524932
2.04,-4.7736,1.43673438019183
2.06,-4.8204,1.45785733590623
2.08,-4.8672,1.4765643534681
2.1,-4.914,1.492874959487
2.12,-4.9608,1.50680048276796
2.14,-5.0076,1.51835989861963
2.16,-5.05439999999999,1.52759943452269
2.18,-5.1012,1.53467494522959
2.2,-5.14799999999999,1.53963113152625
2.22,-5.19479999999999,1.54249527287618
2.24,-5.24159999999999,1.54329698957398
2.26,-5.28839999999999,1.54206817742027
2.28,-5.33519999999999,1.5387686755437
2.3,-5.38199999999999,1.55484417530384
2.32,-5.42879999999999,1.55765332952055
2.34,-5.47559999999999,1.54741341280903
2.36,-5.52239999999999,1.53518229081387
2.38,-5.56919999999999,1.52100649281695
2.4,-5.61599999999999,1.50493703408975
2.42,-5.66279999999999,1.4870233687002
2.44,-5.70959999999999,1.46731454146469
2.46,-5.75639999999999,1.44586345795672
2.48,-5.80319999999999,1.42272436267929
2.5,-5.84999999999999,1.39795273206569
2.52,-5.89679999999999,1.37160516534324
2.54,-5.94359999999999,1.34373927349373
2.56,-5.99039999999999,1.31441356654926
2.58,-6.03719999999998,1.28368733946696
2.6,-6.08399999999998,1.25162055683036
2.62,-6.13079999999998,1.21827373662887
2.64,-6.17759999999998,1.1837078333693
2.66,-6.22439999999998,1.14798412077655
2.68,-6.27119999999998,1.11116407434162
2.7,-6.31799999999998,1.07297659234173
2.72,-6.36479999999998,1.03383715960169
2.74,-6.41159999999998,0.993809482412511
2.76,-6.45839999999998,0.95295481891607
2.78,-6.50519999999998,0.911334037507392
2.8,-6.55199999999998,0.869007503856972
2.82,-6.59879999999998,0.826034969591518
2.84,-6.64559999999998,0.782475462882936
2.86,-6.69239999999998,0.738387181191665
2.88,-6.73919999999998,0.693827386405603
2.9,-6.78599999999998,0.648852302611009
2.92,-6.83279999999998,0.603517016725799
2.94,-6.87959999999998,0.557875382219402
2.96,-6.92639999999998,0.511979926136502
2.98,-6.97319999999997,0.465881759634225
3,-7.01999999999997,0.419630492234674
3.02,-7.06679999999997,0.374299752214308
3.04,-7.11359999999997,0.337774533655076
3.06,-7.16039999999997,0.301241758287768
3.08,-7.20719999999997,0.26482500873004
3.1,-7.25399999999997,0.228584810475794
3.12,-7.30079999999997,0.192559176913939
3.14,-7.34759999999997,0.157013612858849
3.16,-7.39439999999997,0.121752987212871
3.18,-7.44119999999997,0.0868056076029426
3.2,-7.48799999999997,0.0521976399177841
3.22,-7.53479999999997,0.0179508939043025
3.24,-7.58159999999997,-0.0159148745630464
3.26,-7.62839999999997,-0.0493759937391616
3.28,-7.67519999999997,-0.0824151459191307
3.3,-7.72199999999997,-0.115017268283568
3.32,-7.76879999999997,-0.147169559110118
3.34,-7.81559999999997,-0.178861478526825
3.36,-7.86239999999997,-0.210084743768165
3.38,-7.90919999999997,-0.240833318955613
3.4,-7.95599999999997,-0.271103399437798
3.42,-8.00279999999997,-0.300893390738882
3.44,-8.04959999999996,-0.33020388217685
3.46,-8.09639999999996,-0.359037615226817
3.48,-8.14319999999996,-0.387399446717101
3.5,-8.18999999999996,-0.415296306958937
3.52,-8.23679999999996,-0.442737152922948
3.54,-8.28359999999996,-0.469732916588057
3.56,-8.33039999999996,-0.496296448600325
3.58,-8.37719999999996,-0.522442457390982
3.6,-8.42399999999996,-0.548187443914212
3.62,-8.47079999999996,-0.573563800921875
3.64,-8.51759999999996,-0.598612391987907
3.66,-8.56439999999996,-0.623316405195596
3.68,-8.61119999999996,-0.647698765714229
3.7,-8.65799999999996,-0.671783806577486
3.72,-8.70479999999996,-0.695597181100807
3.74,-8.75159999999996,-0.719165954683281
3.76,-8.79839999999996,-0.74252448223324
3.78,-8.84519999999996,-0.76569539350015
3.8,-8.89199999999996,-0.788708690776769
3.82,-8.93879999999995,-0.811595218906611
3.84,-8.98559999999995,-0.834386563502147
3.86,-9.03239999999995,-0.857114947688868
3.88,-9.07919999999995,-0.879813127642426
3.9,-9.12599999999995,-0.902514287189029
3.92,-9.17279999999995,-0.925251931741716
3.94,-9.21959999999995,-0.94805978184678
3.96,-9.26639999999995,-0.970971666615772
3.98,-9.31319999999995,-0.99402141731855
4,-9.35999999999995,-1.01724276141274
4.02,-9.40679999999995,-1.04066921728367
4.04,-9.45359999999995,-1.06433398996713
4.06,-9.50039999999995,-1.08826986812483
4.08,-9.54719999999995,-1.11250912253919
4.1,-9.59399999999995,-1.1370834063902
4.12,-9.64079999999995,-1.16202365757278
4.14,-9.68759999999995,-1.18736000330736
4.16,-9.73439999999995,-1.2131233809054
4.18,-9.78119999999995,-1.23935543418627
4.2,-9.82799999999995,-1.26608428424834
4.22,-9.87479999999995,-1.2933337651525
4.24,-9.92159999999994,-1.32113050469094
4.26,-9.96839999999994,-1.34949466351919
4.28,-10.0151999999999,-1.37844322003183
4.3,-10.0619999999999,-1.40799455481243
4.32,-10.1087999999999,-1.43816551490225
4.34,-10.1555999999999,-1.46657660783073
4.36,-10.2023999999999,-1.49094354215084
4.38,-10.2491999999999,-1.51580236347591
4.4,-10.2959999999999,-1.54116184787422
4.42,-10.3427999999999,-1.56702902060745
4.44,-10.3895999999999,-1.59340912100084
4.46,-10.4363999999999,-1.62030557247252
4.48,-10.4831999999999,-1.64771995780255
4.5,-10.5299999999999,-1.67565199970809
