t,delta,EmergR
82.88,-5.65689061293561,-2.47303504243097
82.9,-5.6481636732067,-2.50821606171071
82.92,-5.63944092868086,-2.5433268144987
82.94,-5.63072249703481,-2.57834332361791
82.96,-5.62200849656229,-2.61324200695085
82.98,-5.61329904614434,-2.64799970934876
83,-5.60459426521957,-2.68259373376412
83.02,-5.59589427375445,-2.71700187155319
83.04,-5.58719919221349,-2.75120243189774
83.06,-5.57850914152949,-2.78517427029624
83.08,-5.56982424307378,-2.81889681607692
83.1,-5.5611446186264,-2.85235009888635
83.12,-5.55247039034632,-2.88551477410972
83.14,-5.54380168074171,-2.91837214718105
83.16,-5.53513861264015,-2.95090419674271
83.18,-5.52648130915888,-2.98309359661678
83.2,-5.51782989367513,-3.01492373655259
83.22,-5.50918448979642,-3.04637874171704
83.24,-5.50054522133088,-3.07744349089619
83.26,-5.49191221225771,-3.10810363337996
83.28,-5.48328558669753,-3.13834560450321
83.3,-5.47466546888294,-3.16815663981963
83.32,-5.46605198312902,-3.19752478788651
83.34,-5.45744525380393,-3.22643892164204
83.36,-5.4488454052996,-3.25488874835863
83.38,-5.44025256200243,-3.28286481815833
83.4,-5.43166684826408,-3.31035853107922
83.42,-5.42308838837244,-3.33736214268415
83.44,-5.41451730652248,-3.36386876820603
83.46,-5.4059537267874,-3.38987238522584
83.48,-5.39739777308971,-3.41536783488277
83.5,-5.38884956917252,-3.44035082161871
83.52,-5.38030923857087,-3.46481791146023
83.54,-5.37177690458317,-3.48876652884651
83.56,-5.36325269024276,-3.51219495201145
83.58,-5.35473671828963,-3.53510230693244
83.6,-5.34622911114216,-3.55748855986038
83.62,-5.33772999086907,-3.57935450844728
83.64,-5.32923947916148,-3.60070177149143
83.66,-5.32075769730505,-3.6215327773212
83.68,-5.31228476615236,-3.64185075084171
83.7,-5.30382080609529,-3.66165969927049
83.72,-5.2953659370377,-3.68096439659082
83.74,-5.28692027836813,-3.69977036675269
83.76,-5.27848394893273,-3.71808386565468
83.78,-5.27005706700831,-3.73591186194098
83.8,-5.26163975027558,-3.75326201665015
83.82,-5.25323211579252,-3.77014266175434
83.84,-5.24483427996796,-3.78656277762863
83.86,-5.23644635853527,-3.80253196949313
83.88,-5.22806846652632,-3.81806044287054
83.9,-5.21970071824553,-3.83315897810494
83.92,-5.21134322724413,-3.84783890398791
83.94,-5.20299610629465,-3.86211207053987
83.96,-5.19465946736557,-3.87599082099602
83.98,-5.18633342159612,-3.88948796304657
84,-5.17801807927134,-3.90261673938348
84.02,-5.16971354979737,-3.91539079760504
84.04,-5.1614199416768,-3.92782415953239
84.06,-5.1531373624844,-3.93993118999108
84.08,-5.14486591884298,-3.95172656511326
84.1,-5.13660571639941,-3.96322524021479
84.12,-5.12835685980098,-3.97444241730335
84.14,-5.1201194526719,-3.985393512274
84.16,-5.11189359759,-3.99609412184761
84.18,-5.10367939606376,-4.00655999030937
84.2,-5.09547694850947,-4.01680697610365
84.22,-5.08728635422866,-4.02685101834174
84.24,-5.07910771138576,-4.03670810327866
84.26,-5.07094111698602,-4.04639423081567
84.28,-5.06278666685366,-4.05592538108361
84.3,-5.05464445561021,-4.06531748116287
84.32,-5.04651457665318,-4.0745863719949
84.34,-5.03839712213495,-4.08374777553904
84.36,-5.03029218294187,-4.09281726222871
84.38,-5.02219984867366,-4.10181021877917
84.4,-5.01412020762307,-4.11074181639919
84.42,-5.00605334675575,-4.11962697945697
84.44,-4.99799935169043,-4.12848035465042
84.46,-4.98995830667936,-4.13731628073073
84.48,-4.98193029458896,-4.14614875882578
84.5,-4.97391539688083,-4.15499142341079
84.52,-4.96591369359293,-4.16385751396976
84.54,-4.95792526332112,-4.17275984739234
84.56,-4.94995018320091,-4.18171079114693
84.58,-4.94198852888952,-4.19072223727116
84.6,-4.93404037454823,-4.19980557721803
84.62,-4.92610579282495,-4.20897167759511
84.64,-4.91818485483716,-4.2182308568317
84.66,-4.91027763015503,-4.22759286280838
84.68,-4.90238418678496,-4.23706685147977
84.7,-4.89450459115325,-4.24666136652117
84.72,-4.8866389080902,-4.25638432002696
84.74,-4.87878720081439,-4.26624297428682
84.76,-4.87094953091737,-4.276243924664
84.78,-4.86312595834852,-4.28639308359812
84.8,-4.85531654140028,-4.29669566575262
84.82,-4.8475213366937,-4.30715617432493
84.84,-4.83974039916419,-4.31777838853608
84.86,-4.83197378204769,-4.32856535231351
84.88,-4.82422153686705,-4.33951936417962
84.9,-4.81648371341876,-4.35064196835609
84.92,-4.80876035975999,-4.36193394709194
84.94,-4.80105152219589,-4.37339531422187
84.96,-4.79335724526725,-4.38502530995863
84.98,-4.78567757173843,-4.39682239692153
85,-4.77801254258566,-4.40878425740153
85.02,-4.77036219698553,-4.42090779186075
85.04,-4.76272657230398,-4.43318911866274
85.06,-4.75510570408538,-4.44562357502786
85.08,-4.74749962604214,-4.45820571920618
85.1,-4.73990837004447,-4.47092933385859
85.12,-4.73233196611057,-4.48378743063468
85.14,-4.72477044239705,-4.49677225593466
85.16,-4.71722382518975,-4.50987529784048
85.18,-4.70969213889481,-4.52308729419978
85.2,-4.70217540603013,-4.53639824184472
85.22,-4.69467364721708,-4.54979740692591
85.24,-4.68718688117259,-4.56327333634064
85.26,-4.67971512470153,-4.57681387023237
85.28,-4.67225839268945,-4.59040615553778
85.3,-4.66481669809559,-4.60403666055593
85.32,-4.65739005194626,-4.61769119051287
85.34,-4.64997846332857,-4.63135490409337
85.36,-4.64258193938441,-4.64501233091143
85.38,-4.63520048530481,-4.65864738988866
85.4,-4.62783410432465,-4.67224340850971
85.42,-4.62048279771765,-4.68578314292225
85.44,-4.61314656479172,-4.69924879884829
85.46,-4.60582540288464,-4.71262205327358
85.48,-4.59851930736004,-4.72588407687903
85.5,-4.59122827160378,-4.73901555717993
85.52,-4.5839522870206,-4.75199672233607
85.54,-4.57669134303112,-4.76480736559643
85.56,-4.56944542706919,-4.77742687034132
85.58,-4.56221452457957,-4.78983423568394
85.6,-4.55499861901592,-4.80200810259395
85.62,-4.54779769183916,-4.81392678050438
85.64,-4.54061172251617,-4.82556827436365
85.66,-4.53344068851875,-4.83691031209392
85.68,-4.52628456532305,-4.84793037241702
85.7,-4.51914332640919,-4.85860571300935
85.72,-4.51201694326135,-4.86891339894687
85.74,-4.50490538536808,-4.87883033140161
85.76,-4.49780862022306,-4.88833327655122
85.78,-4.49072661332609,-4.89739889466333
85.8,-4.48365932818453,-4.90600376931668
85.82,-4.47660672631497,-4.91412443672143
85.84,-4.4695687672453,-4.92173741510136
85.86,-4.46254540851714,-4.92881923410117
85.88,-4.45553660568853,-4.93534646418227
85.9,-4.44854231233705,-4.94129574597198
85.92,-4.44156248006321,-4.94664381952982
85.94,-4.43459705849422,-4.95136755349728
85.96,-4.42764599528808,-4.95544397409683
85.98,-4.42070923613803,-4.95885029394635
86,-4.41378672477728,-4.9615639406576
86.02,-4.40687840298419,-4.96356258518616
86.04,-4.39998421058768,-4.96482416990211
86.06,-4.39310408547304,-4.96532693635188
86.08,-4.38623796358807,-4.96504945268131
86.1,-4.37938577894952,-4.9639706406923
86.12,-4.37254746364996,-4.96206980250521
86.14,-4.36572294786488,-4.95932664680113
86.16,-4.3589121598602,-4.9557213146176
86.18,-4.35211502600009,-4.95123440467414
86.2,-4.34533147075517,-4.94584699820387
86.22,-4.33856141671096,-4.93954068326803
86.24,-4.33180478457678,-4.93229757853271
86.26,-4.32506149319488,-4.92410035648672
86.28,-4.31833145954999,-4.91493226608099
86.3,-4.31161459877917,-4.90477715477138
86.32,-4.30491082418196,-4.89361948994694
86.34,-4.29822004723099,-4.88144437972722
86.36,-4.29154217758274,-4.8682375931132
86.38,-4.28487712308879,-4.85398557947714
86.4,-4.27822478980737,-4.83867548737768
86.42,-4.27158508201514,-4.82229518268801
86.44,-4.26495790221949,-4.80483326602486
86.46,-4.25834315117096,-4.78627908946797
86.48,-4.25174072787618,-4.76662277256029
86.5,-4.24515052961101,-4.74585521757967
86.52,-4.23857245193407,-4.72396812407432
86.54,-4.23200638870059,-4.7009540026549
86.56,-4.22545223207657,-4.67680618803675
86.58,-4.2189098725533,-4.65151885132693
86.6,-4.21237919896217,-4.62508701155118
86.62,-4.2058600984898,-4.59750654641735
86.64,-4.19935245669357,-4.56877420231127
86.66,-4.19285615751737,-4.53888760352377
86.68,-4.18637108330771,-4.50784526070571
86.7,-4.1798971148302,-4.47564657855136
86.72,-4.17343413128627,-4.44229186270822
86.74,-4.16698201033027,-4.40778232591453
86.76,-4.16054062808683,-4.37212009336457
86.78,-4.15410985916858,-4.33530820730329
86.8,-4.14768957669418,-4.29735063085167
86.82,-4.14127965230664,-4.25825225106553
86.84,-4.13487995619194,-4.21801888123018
86.86,-4.12849035709799,-4.17665726239414
86.88,-4.12211072235392,-4.13417506414556
86.9,-4.11574091788959,-4.09058088463519
86.92,-4.10938080825546,-4.04588424985029
86.94,-4.10303025664278,-4.00009561214385
86.96,-4.09668912490403,-3.95322634802446
86.98,-4.09035727357371,-3.90528875521164
87,-4.08403456188936,-3.85629604896212
87.02,-4.07772084781293,-3.80626235767315
87.04,-4.07141598805241,-3.75520271776813
87.06,-4.06511983808379,-3.70313306787132
87.08,-4.05883225217324,-3.65007024227711
87.1,-4.05255308339963,-3.59603196372089
87.12,-4.0462821836773,-3.54103683545812
87.14,-4.04001940377916,-3.48510433265771
87.16,-4.03376459335996,-3.42825479311691
87.18,-4.02751760097999,-3.37050940730459
87.2,-4.02127827412888,-3.31189020773999
87.22,-4.01504645924981,-3.25242005771356
87.24,-4.00882200176394,-3.19212263935765
87.26,-4.00260474609502,-3.13102244107366
87.28,-3.99639453569443,-3.06914474432362
87.3,-3.99019121306629,-3.00651560979264
87.32,-3.98399461979298,-2.94316186293046
87.34,-3.97780459656083,-2.87911107887932
87.36,-3.97162098318605,-2.81439156679521
87.38,-3.96544361864096,-2.74903235357063
87.4,-3.95927234108039,-2.68306316696656
87.42,-3.9531069878684,-2.61651441816082
87.44,-3.94694739560516,-2.54941718372121
87.46,-3.94079340015412,-2.48180318701086
87.48,-3.93464483666933,-2.41370477903459
87.5,-3.92850153962307,-2.34515491873298
87.52,-3.92236334283365,-2.2761871527343
87.54,-3.91623007949343,-2.20683559457105
87.56,-3.91010158219706,-2.13713490337075
87.58,-3.90397768296992,-2.06712026202872
87.6,-3.89785821329675,-1.99682735487303
87.62,-3.89174300415055,-1.92629234482979
87.64,-3.88563188602153,-1.85555185009813
87.66,-3.87952468894644,-1.78464292034522
87.68,-3.87342124253789,-1.71360301243039
87.7,-3.86732137601401,-1.64246996566919
87.72,-3.86122491822821,-1.57128197664706
87.74,-3.8551316976991,-1.50007757359411
87.76,-3.84904154264063,-1.42889559033194
87.78,-3.84295428099234,-1.35777513980384
87.8,-3.8368697404498,-1.28675558720003
87.82,-3.83078774849521,-1.21587652269115
87.84,-3.82470813242811,-1.145177733782
87.86,-3.81863071939624,-1.07469917729837
87.88,-3.81255533642658,-1.00448095102182
87.9,-3.80648181045649,-0.93456326498558
87.92,-3.80040996836493,-0.864986412446542
87.94,-3.79433963700392,-0.792003239573236
87.96,-3.78826838926232,-0.710309981310429
87.98,-3.78219436471526,-0.629161519980044
88,-3.77611812131994,-0.548590804259848
88.02,-3.77004008518218,-0.479885046725234
88.04,-3.76396057446963,-0.414602085155384
88.06,-3.75787981900278,-0.349957128303293
88.08,-3.75179797630606,-0.285989895684226
88.1,-3.74571514475975,-0.222739909508759
88.12,-3.73963137437733,-0.160246463318906
88.14,-3.73354667563818,-0.0985485905045826
88.16,-3.72746102672741,-0.0376850327226812
88.18,-3.72137437947131,0.0223057917465881
88.2,-3.7152866642037,0.0813858193410466
88.22,-3.70919779375262,0.139517372884244
88.24,-3.70310766670598,0.196663193805011
88.26,-3.69701617009129,0.252786473892187
88.28,-3.69092318157663,0.307850886966307
88.3,-3.68482857127942,0.361820620476351
88.32,-3.67873220325402,0.414660406993183
88.34,-3.6726339367162,0.466335555572349
88.36,-3.66653362705221,0.516811982958411
88.38,-3.66043112665136,0.566056244600064
88.4,-3.65432628559405,0.614035565448527
88.42,-3.6482189522214,0.660717870507243
88.44,-3.64210897360796,0.706071815103538
88.46,-3.6359961959549,0.750066814850523
88.48,-3.62988046491819,0.792673075267355
88.5,-3.62376162588348,0.833861621027097
88.52,-3.61763952419722,0.873604324798143
88.54,-3.6115140053621,0.911873935648035
88.56,-3.60538491520303,0.948644106975395
88.58,-3.59925210000923,0.983889423937698
88.6,-3.59311540665643,1.01758543034068
88.62,-3.58697468271302,1.04970865495586
88.64,-3.58082977653293,1.08023663723253
88.66,-3.5746805373375,1.10914795237021
88.68,-3.56852681528851,1.13642223571735
88.7,-3.56236846155383,1.16204020646267
88.72,-3.55620532836695,1.18598369058525
88.74,-3.55003726908154,1.20823564302939
88.76,-3.54386413822192,1.22878016907092
88.78,-3.53768579153006,1.24760254484161
88.8,-3.53150208600973,1.26468923697841
88.82,-3.52531287996836,1.28002792136528
88.84,-3.51911803305685,1.29360750093504
88.86,-3.51291740630774,1.30541812249974
88.88,-3.50671086217196,1.31545119257796
88.9,-3.50049826455444,1.32369939218904
88.92,-3.4942794788486,1.33015669058353
88.94,-3.48805437196999,1.3348183578817
88.96,-3.4818228123892,1.33768097659058
88.98,-3.47558467016397,1.33874245197283
89,-3.46933981697076,1.33800202124074
89.02,-3.46308812613574,1.33546026154948
89.04,-3.4568294726652,1.33111909676497
89.06,-3.45056373327558,1.32498180298387
89.08,-3.44429078642298,1.31705301278211
89.1,-3.43801051233218,1.30733871817216
89.12,-3.43172279302535,1.29584627224863
89.14,-3.4254275123503,1.28258438950435
89.16,-3.41912455600829,1.26756314479955
89.18,-3.4128138115815,1.25079397096949
89.2,-3.40649516856006,1.23228965505568
89.22,-3.40016851836872,1.21206433314936
89.24,-3.39383375439312,1.19013348383612
89.26,-3.38749077200563,1.16651392023258
89.28,-3.38113946859081,1.14122378060837
89.3,-3.37477974357046,1.11428251758745
89.32,-3.36841149842828,1.08571088592572
89.34,-3.36203463673408,1.05553092886271
89.36,-3.35564906416758,1.02376596304763
89.38,-3.34925468854179,0.99044056204194
89.4,-3.34285141982596,0.955580538402577
89.42,-3.33643917016804,0.91921292435151
89.44,-3.33001785391677,0.881365951039873
89.46,-3.32358738764326,0.842069026417146
89.48,-3.31714769016212,0.801352711716695
89.5,-3.31069868255214,0.759248696572517
89.52,-3.30424028817646,0.715789772783348
89.54,-3.29777243270227,0.671009806742404
89.56,-3.29129504412008,0.624943710553197
89.58,-3.28480805276239,0.57762741185407
89.6,-3.27831139132192,0.529097822375876
89.62,-3.27180499486936,0.479392805259935
89.64,-3.26528880087053,0.428551141164522
89.66,-3.25876274920307,0.376612493190863
89.68,-3.25222678217259,0.323617370661708
89.7,-3.24568084452828,0.269607091787092
89.72,-3.23912488347801,0.214623745253874
89.74,-3.23255884870284,0.158710150778433
89.76,-3.22598269237098,0.101909818662289
89.78,-3.21939636915129,0.0442669083942868
89.8,-3.21279983622605,-0.0141738136579255
89.82,-3.20619305330305,-0.073367017130781
89.84,-3.19957598262288,-0.133266851306229
89.86,-3.19294858895977,-0.19382699038374
89.88,-3.18631083962208,-0.255000679027937
89.9,-3.17966270445407,-0.316740778510312
89.92,-3.17300415583853,-0.378999813459685
89.94,-3.16633516870012,-0.441730019166295
89.96,-3.15965572050914,-0.504883389382441
89.98,-3.15296579128553,-0.568411724561513
90,-3.146265363603,-0.632266680476901
90.02,-3.13955442259312,-0.696399817159008
90.04,-3.13283295594933,-0.760762648090816
90.06,-3.1261009539307,-0.825306689597925
90.08,-3.11935840936546,-0.889983510371985
90.1,-3.11260531765415,-0.95474478106203
90.12,-3.10584167677248,-1.01954232387005
90.14,-3.09906748727371,-1.08432816208656
90.16,-3.09228275229056,-1.14905456949955
90.18,-3.08548747753677,-1.21367411961214
90.2,-3.07868167130803,-1.27813973460283
90.22,-3.07186534448248,-1.34240473396244
90.24,-3.06503851052067,-1.40642288274176
90.26,-3.05820118546496,-1.47014843934423
90.28,-3.05135338793839,-1.53353620279774
90.3,-3.04449513914299,-1.59654155944099
90.32,-3.03762646285751,-1.65912052895893
90.34,-3.03074738543462,-1.72122980970314
90.36,-3.02385793579749,-1.78282682323445
90.38,-3.01695814543579,-1.84386975802351
90.4,-3.01004804840118,-1.90431761224896
90.42,-3.0031276813021,-1.96413023563129
90.44,-2.99619708329807,-2.02326837024323
90.46,-2.98925629609339,-2.08169369023755
90.48,-2.98230536393016,-2.13936884043597
90.5,-2.97534433358087,-2.19625747372237
90.52,-2.96837325434022,-2.25232428718673
90.54,-2.96139217801653,-2.30753505696732
90.56,-2.9544011589224,-2.36185667173941
90.58,-2.94740025386491,-2.41525716480281
90.6,-2.94038952213515,-2.46770574471997
90.62,-2.9333690254972,-2.51917282446015
90.64,-2.92633882817654,-2.56963004900696
90.66,-2.91929899684781,-2.61905032138778
90.68,-2.91224960062212,-2.66740782708729
90.7,-2.9051907110336,-2.7146780568087
90.72,-2.89812240202556,-2.76083782754915
90.74,-2.89104474993595,-2.80586530195799
90.76,-2.8839578334823,-2.84974000594927
90.78,-2.87686173374607,-2.89244284454283
90.8,-2.86975653415649,-2.93395611591059
90.82,-2.86264232047375,-2.97426352360724
90.84,-2.85551918077174,-3.01335018696784
90.86,-2.84838720542011,-3.05120264965792
90.88,-2.84124648706591,-3.08780888636288
90.9,-2.8340971206146,-3.12315830760912
90.92,-2.82693920321053,-3.15724176270936
90.94,-2.81977283421695,-3.19005154083004
90.96,-2.81259811519536,-3.22158137017994
90.98,-2.80541514988446,-3.25182641532308
91,-2.79822404417851,-3.28078327262168
91.02,-2.79102490610521,-3.3084499638182
91.04,-2.783817845803,-3.3348259277676
91.06,-2.77660297549796,-3.35991201033547
91.08,-2.76938040948009,-3.38371045247933
91.1,-2.76215026407922,-3.40622487653389
91.12,-2.75491265764032,-3.42746027072394
91.14,-2.7476677104984,-3.44742297193153
91.16,-2.7404155449529,-3.46612064674687
91.18,-2.73315628524162,-3.48356227083508
91.2,-2.7258900575142,-3.49975810665365
91.22,-2.71861698980512,-3.5147196795592
91.24,-2.71133721200625,-3.52845975234243
91.26,-2.70405085583901,-3.54099229823576
91.28,-2.69675805482602,-3.55233247243841
91.3,-2.68945894426237,-3.56249658220651
91.32,-2.68215366118645,-3.5715020555598
91.34,-2.67484234435041,-3.57936740865598
91.36,-2.66752513419014,-3.586112211889
91.38,-2.66020217279491,-3.59175705476699
91.4,-2.65287360387663,-3.59632350962959
91.42,-2.64553957273869,-3.59983409426496
91.44,-2.63820022624444,-3.60231223348959
91.46,-2.63085571278533,-3.6037822197547
91.48,-2.62350618224867,-3.60426917284537
91.5,-2.61615178598506,-3.60379899873998
91.52,-2.60879267677547,-3.60239834769822
91.54,-2.60142900879802,-3.6000945716477
91.56,-2.59406093759437,-3.59691568094047
91.58,-2.58668862003592,-3.59289030055092
91.6,-2.57931221428958,-3.58804762578807
91.62,-2.57193187978336,-3.5824173775962
91.64,-2.56454777717158,-3.5760297575167
91.66,-2.55716006829989,-3.56891540238713
91.68,-2.54976891616998,-3.56110533885106
91.7,-2.54237448490407,-3.5526309377543
91.72,-2.53497693970909,-3.54352386850224
91.74,-2.52757644684075,-3.53381605345312
91.76,-2.52017317356726,-3.52353962242232
91.78,-2.51276728813288,-3.5127268673708
91.8,-2.50535895972135,-3.50141019735272
91.82,-2.49794835841895,-3.48962209379393
91.84,-2.4905356551776,-3.47739506617451
91.86,-2.48312102177758,-3.46476160818615
91.88,-2.47570463079022,-3.45175415443438
91.9,-2.46828665554039,-3.43840503775489
91.92,-2.46086727006888,-3.4247464472119
91.94,-2.45344664909459,-3.41081038684352
91.96,-2.44602496797668,-3.39662863522008
91.98,-2.43860240267654,-3.38223270587752
92,-2.4311791297197,-3.3676538086867
92.02,-2.42375532615765,-3.35292281221828
92.04,-2.41633116952958,-3.33807020715963
92.06,-2.40890683782403,-3.32312607083904
92.08,-2.40148250944054,-3.30812003290929
92.1,-2.39405836315119,-3.29308124224129
92.12,-2.38663457806213,-3.27803833507512
92.14,-2.37921133357513,-3.26301940447391
92.16,-2.37178880934904,-3.24805197112266
92.18,-2.3643671852613,-3.23316295551243
92.2,-2.35694664136947,-3.2183786515462
92.22,-2.3495273578727,-3.20372470160095
92.24,-2.34210951507334,-3.18922607307697
92.26,-2.33469329333848,-3.17490703646269
92.28,-2.32727887306164,-3.16079114494018
92.3,-2.31986643462447,-3.14690121555296
92.32,-2.31245615835849,-3.13325931195568
92.34,-2.30504822450701,-3.11988672876099
92.36,-2.29764281318702,-3.10680397749623
92.38,-2.29024010435129,-3.09403077417927
92.4,-2.28284027775053,-3.08158602851966
92.42,-2.2754435128957,-3.0694878347479
92.44,-2.26804998902038,-3.05775346407231
92.46,-2.26065988504343,-3.04639935876017
92.48,-2.25327337953163,-3.03544112783595
92.5,-2.24589065066265,-3.02489354438686
92.52,-2.23851187618806,-3.01477054446223
92.54,-2.23113723339659,-3.00508522755024
92.56,-2.22376689907761,-2.99584985861318
92.58,-2.21640104948473,-2.98707587165743
92.6,-2.2090398602997,-2.97877387481349
92.62,-2.20168350659646,-2.97095365689754
92.64,-2.1943321628055,-2.96362419542196
92.66,-2.18698600267838,-2.95679366602163
92.68,-2.17964519925255,-2.95046945325864
92.7,-2.17230992481643,-2.94465816276482
92.72,-2.16498035087475,-2.93936563468104
92.74,-2.15765664811415,-2.93459695834716
92.76,-2.1503389863691,-2.93035648819626
92.78,-2.14302753458809,-2.92664786080292
92.8,-2.13572246080014,-2.92347401303394
92.82,-2.1284239320816,-2.92083720124799
92.84,-2.12113211452331,-2.91873902148756
92.86,-2.11384717319805,-2.9171804306062
92.88,-2.10656927212836,-2.91616176827114
92.9,-2.09929857425465,-2.91568277978052
92.92,-2.09203524140375,-2.91574263963256
92.94,-2.08477943425771,-2.91633997578262
92.96,-2.0775313123231,-2.91747289452377
92.98,-2.07029103390054,-2.91311753020168
93,-2.06306571861997,-2.89850439796687
93.02,-2.05587426162228,-2.88451650925885
93.04,-2.04873307541165,-2.87114992209095
93.06,-2.04165528287378,-2.85908317036813
93.08,-2.03465131737654,-2.86355424702267
93.1,-2.0277252553536,-2.86853243928019
93.12,-2.02086748849781,-2.87401424439562
93.14,-2.01406662198831,-2.87999864028969
93.16,-2.00731334052574,-2.88648022696859
93.18,-2.00060003184855,-2.89345338311258
93.2,-1.99392047838508,-2.90091229286451
93.22,-1.98726960470966,-2.90885097234832
93.24,-1.98064327070309,-2.91726329585231
93.26,-1.97403810214548,-2.92614302161088
93.28,-1.96745135196678,-2.93548381712122
93.3,-1.96088078660643,-2.9452792839323
93.32,-1.95432459293761,-2.95552298184432
93.34,-1.9477813020343,-2.9662084524595
93.36,-1.94124972673277,-2.97732924202574
93.38,-1.93472891049092,-2.98887892351709
93.4,-1.92821808550079,-3.00085111789711
93.42,-1.92171663837941,-3.01323951451237
93.44,-1.91522408206662,-3.02603789056709
93.46,-1.90874003280635,-3.03924012963037
93.48,-1.9022641912914,-3.05284023913158
93.5,-1.89579632721817,-3.06683236680103
93.52,-1.88933626663428,-3.08121081601586
93.54,-1.88288388157356,-3.09597006001404
93.56,-1.8764390815644,-3.11110475494199
93.58,-1.87000180667259,-3.12660975170414
93.6,-1.86357202180074,-3.14248010658612
93.62,-1.85714971201711,-3.15871109062563
93.64,-1.85073487872735,-3.17529819770906
93.66,-1.84432753653677,-3.1922371513739
93.68,-1.83792771067809,-3.20952391030145
93.7,-1.83153543490244,-3.22715467248661
93.72,-1.82515074974975,-3.24512587807516
93.74,-1.81877370112984,-3.26343421086269
93.76,-1.81240433915815,-3.28207659845138
93.78,-1.80604271719988,-3.30105021106601
93.8,-1.79968889108499,-3.32035245903214
93.82,-1.7933429184631,-3.33998098892401
93.84,-1.78700485827302,-3.35993367839229
93.86,-1.78067477030615,-3.38020862968561
93.88,-1.77435271484693,-3.40080416188293
93.9,-1.76803875237622,-3.42171880185656
93.92,-1.76173294332648,-3.44295127399012
93.94,-1.75543534787918,-3.46450048867774
93.96,-1.74914602579709,-3.48636552963404
93.98,-1.74286503628493,-3.50854564004842
94,-1.73659243787343,-3.53104020761927
94.02,-1.73032828832259,-3.55384874850674
94.04,-1.72407264454061,-3.57697089024644
94.06,-1.71782556251588,-3.60040635366758
94.08,-1.71158709725941,-3.62415493386379
94.1,-1.70535730275625,-3.64821648026545
94.12,-1.69913623192387,-3.67259087586624
94.14,-1.69292393657671,-3.69727801565838
94.16,-1.68672046739548,-3.72227778433344
94.18,-1.68052587390059,-3.74759003330724
94.2,-1.67434020442899,-3.77321455713043
94.22,-1.66816350611374,-3.79915106934738
94.24,-1.66199582486602,-3.82539917786751
94.26,-1.65583720535901,-3.85195835991547
94.28,-1.64968769101352,-3.87882793662822
94.3,-1.64354732398495,-3.90600704736721
94.32,-1.63741614515152,-3.93349462381584
94.34,-1.63129419410348,-3.96128936393375
94.36,-1.62518150913325,-3.98938970583902
94.38,-1.61907812722629,-4.01779380169183
94.4,-1.61298408405272,-4.0464994916514
94.42,-1.60689941395955,-4.07550427798079
94.44,-1.60082414996342,-4.10480529937266
94.46,-1.59475832374387,-4.13439930556945
94.48,-1.58870196563714,-4.16428263235187
94.5,-1.58265510463028,-4.19445117696864
94.52,-1.57661776835581,-4.22490037408012
94.54,-1.57058998308667,-4.25562517228819
94.56,-1.56457177373158,-4.2866200113231
94.58,-1.55856316383075,-4.31787879995823
94.6,-1.55256417555198,-4.34939489472112
94.62,-1.54657482968706,-4.38116107946895
94.64,-1.54059514564849,-4.41316954589523
94.66,-1.53462514146662,-4.44541187503138
94.68,-1.52866483378698,-4.47787901980709
94.7,-1.5227142378681,-4.51056128872989
94.72,-1.51677336757951,-4.54344833074329
94.74,-1.51084223540013,-4.57652912131965
94.76,-1.504920852417,-4.60979194984263
94.78,-1.49900922832427,-4.6432244083308
94.8,-1.49310737142257,-4.67681338155139
94.82,-1.48721528861868,-4.71054503857141
94.84,-1.48133298542548,-4.74440482578837
94.86,-1.47546046596231,-4.7783774614829
94.88,-1.4695977329556,-4.81244693192893
94.9,-1.46374478773978,-4.84659648909713
94.92,-1.45790163025862,-4.88080864998163
94.94,-1.45206825906681,-4.91506519757837
94.96,-1.44624467133189,-4.94934718353821
94.98,-1.44043086283653,-4.98363493251616
95,-1.43462682798108,-5.01790804823348
95.02,-1.42883255978649,-5.05214542126537
95.04,-1.42304804989759,-5.08632523856448
95.06,-1.41727328858658,-5.12042499472532
95.08,-1.41150826475699,-5.15442150499188
95.1,-1.40575296594783,-5.18829092000637
95.12,-1.40000737833823,-5.22200874229311
95.14,-1.3942714867522,-5.2555498444681
95.16,-1.38854527466391,-5.28888848916043
95.18,-1.38282872420318,-5.32199835062823
95.2,-1.37712181616137,-5.3548525380476
95.22,-1.37142452999748,-5.38742362044935
95.24,-1.36573684384472,-5.41968365327478
95.26,-1.36005873451733,-5.45160420651688
95.28,-1.35439017751767,-5.48315639441125
95.3,-1.34873114704377,-5.51431090663592
95.32,-1.34308161599706,-5.54503804097593
95.34,-1.3374415559905,-5.57530773740582
95.36,-1.331810937357,-5.60508961353849
95.38,-1.32618972915821,-5.63435300138596
95.4,-1.32057789919349,-5.66306698537499
95.42,-1.31497541400939,-5.69120044155578
95.44,-1.30938223890925,-5.71872207794016
95.46,-1.30379833796323,-5.74560047590228
95.48,-1.29822367401864,-5.7718041325716
95.5,-1.29265820871047,-5.797301504146
95.52,-1.28710190247241,-5.82206105004897
95.54,-1.28155471454796,-5.84605127785432
95.56,-1.27601660300202,-5.86924078889692
95.58,-1.27048752473264,-5.89159832448891
95.6,-1.26496743548316,-5.9130928126555
95.62,-1.25945628985459,-5.93369341530559
95.64,-1.25395404131829,-5.95336957574879
95.66,-1.24846064222891,-5.97209106646999
