Time,AngleX
25.1,-33.35708707
25.2,-33.13848215
25.3,-32.90662227
25.4,-32.66160018
25.5,-32.40351388
25.6,-32.13246661
25.7,-31.84856679
25.8,-31.55192796
25.9,-31.24266878
26,-30.92091295
26.1,-30.58678917
26.2,-30.24043108
26.3,-29.88197722
26.4,-29.51157096
26.5,-29.12936048
26.6,-28.73549863
26.7,-28.33014298
26.8,-27.91345564
26.9,-27.48560329
27,-27.04675706
27.1,-26.5970925
27.2,-26.13678945
27.3,-25.66603203
27.4,-25.18500855
27.5,-24.69391139
27.6,-24.19293701
27.7,-23.68228576
27.8,-23.16216192
27.9,-22.63277353
28,-22.09433233
28.1,-21.54705368
28.2,-20.99115651
28.3,-20.42686315
28.4,-19.85439932
28.5,-19.27399399
28.6,-18.68587932
28.7,-18.09029055
28.8,-17.48746591
28.9,-16.87764651
29,-16.26107628
29.1,-15.63800183
29.2,-15.0086724
29.3,-14.37333969
29.4,-13.73225784
29.5,-13.08568327
29.6,-12.4338746
29.7,-11.77709255
29.8,-11.11559981
29.9,-10.44966099
30,-9.779542437
30.1,-9.1055122
30.2,-8.42783988
30.3,-7.746796536
30.4,-7.062654576
30.5,-6.37568765
30.6,-5.686170533
30.7,-4.994379023
30.8,-4.300589829
30.9,-3.605080456
31,-2.908129099
31.1,-2.210014529
31.2,-1.511015982
31.3,-0.81141305
31.4,-0.111485563
31.5,0.588486517
31.6,1.28822321
31.7,1.987444631
31.8,2.6858711
31.9,3.383223257
32,4.07922217
32.1,4.773589448
32.2,5.466047354
32.3,6.156318914
32.4,6.844128029
32.5,7.529199583
32.6,8.211259558
32.7,8.890035139
32.8,9.565254824
32.9,10.23664854
33,10.90394772
33.1,11.56688548
33.2,12.22519663
33.3,12.87861787
33.4,13.52688783
33.5,14.16974722
33.6,14.8069389
33.7,15.438208
33.8,16.06330202
33.9,16.68197094
34,17.29396729
34.1,17.89904628
34.2,18.4969659
34.3,19.08748697
34.4,19.67037331
34.5,20.24539175
34.6,20.81231231
34.7,21.37090823
34.8,21.92095606
34.9,22.46223581
35,22.99453096
35.1,23.5176286
35.2,24.0313195
35.3,24.5353982
35.4,25.02966307
35.5,25.5139164
35.6,25.98796451
35.7,26.45161778
35.8,26.90469076
35.9,27.34700221
36,27.77837523
36.1,28.19863728
36.2,28.60762024
36.3,29.00516053
36.4,29.39109915
36.5,29.76528172
36.6,30.12755858
36.7,30.47778481
36.8,30.81582033
36.9,31.14152994
37,31.45478335
37.1,31.75545527
37.2,32.04342543
37.3,32.31857864
37.4,32.58080486
37.5,32.82999919
37.6,33.06606195
37.7,33.28889873
37.8,33.4984204
37.9,33.69454314
38,33.87718852
