Omega,Zeta_a,Wavenum,Phase,Psi
0.117812433388488,0,0.00141485927226471,5.96983836435778,3.14159265358979
0.187446468533277,1.09800611227401e-39,0.00358166957855217,1.45228611241329,3.14159265358979
0.332290345783558,1.99680075996549e-07,0.0112555427014227,3.81290440468065,3.14159265358979
0.399212938097054,0.0309303398122746,0.0162457665590298,3.05351790694113,3.14159265358979
0.519556731949306,0.564617518020336,0.0275167377893826,5.60019656841113,3.14159265358979
0.591306815837457,1.24137766261673,0.0356415647763335,4.78839562392582,3.14159265358979
0.678645585087188,1.43901455153879,0.0469479949192998,2.86807092698829,3.14159265358979
0.766913007045823,1.3349250566105,0.0599546952473055,0.116261819386536,3.14159265358979
0.867022839855595,1.14124520406582,0.0766288078319328,5.16105342591198,3.14159265358979
1.01550468814114,0.948767163403829,0.105122300880392,2.79415364495732,3.14159265358979
1.07739318349019,0.7840523099615,0.11832579733243,3.86687548714555,3.14159265358979
1.20095346401049,0.650074227612121,0.147022346862263,4.97588715777288,3.14159265358979
1.26171078105936,0.542840295509584,0.16227462742522,5.79192171375131,3.14159265358979
1.41600043069919,0.457158173767306,0.20438911516211,4.63829292053108,3.14159265358979
1.48386626399299,0.388375147152402,0.224450467830431,1.10751284924178,3.14159265358979
1.63163467525575,0.332743702382483,0.27137937956136,2.54912731694323,3.14159265358979
1.73073382448955,0.287362282888092,0.305345522042022,5.87772946874462,3.14159265358979
1.80452712137458,0.250015106280128,0.33193864747976,5.76108050495165,3.14159265358979
1.89458506728636,0.219013758748567,0.36589730654276,2.57780373653904,3.14159265358979
2.0345322214489,0.193067167101364,0.421949170246055,5.61496560240384,3.14159265358979
2.12647217568038,0.17118182389359,0.46094637247124,0.363741795633971,3.14159265358979
