Omega,Zeta_a,Wavenum,Phase,Psi
0.81025182,0.097764662,0.066922325,5.616526569,-2.723816626
0.874204834,0.083268892,0.077903577,1.251221378,-2.636728841
0.933257869,0.066228092,0.08878392,1.876932041,-2.41869382
0.967493349,0.048310334,0.095417266,4.155966277,-2.261171191
0.914431545,0.031269534,0.085238028,1.786991872,-2.095520597
0.835967195,0.016773764,0.07123763,2.948223135,-2.013232533
0.864690062,0.006241971,0.076217014,0.4070318,-1.784967038
0.849737171,0.000705079,0.073603798,6.209891563,-1.701123867
0.988869616,0.001550199,0.099680236,3.661788131,1.65555667
1.058609693,0.013723703,0.114235931,2.660905459,1.825798489
1.104021745,0.036879083,0.124247096,3.239055867,1.992694937
1.002616964,0.068749729,0.102471027,2.098279032,2.148432478
1.12537405,0.106215922,0.129099567,2.720032364,2.336846996
1.161438134,0.145610207,0.137506477,1.419684892,2.358219325
1.11567779,0.1830764,0.126884499,3.643034027,2.562031991
1.127735153,0.214947046,0.129641853,4.777514258,2.792731238
1.030005275,0.238102426,0.108145858,3.328976822,2.875703344
1.022495196,0.25027593,0.106574559,4.024546687,3.13007531
1.034609743,0.25027593,0.109114915,1.31362181,-3.034979585
1.115496086,0.238102426,0.126843172,2.386469204,-2.972838628
1.162855986,0.214947046,0.13784241,4.921799064,-2.816332698
1.101733554,0.1830764,0.123732602,4.277880022,-2.668479722
1.085361766,0.145610207,0.120082585,2.897146125,-2.477592901
1.139600568,0.106215922,0.132384246,3.567773023,-2.275101816
1.131349926,0.068749729,0.130474277,4.990172696,-2.127140308
1.107331777,0.036879083,0.124993238,0.371855202,-1.931576303
1.107812212,0.013723703,0.125101722,3.787938181,-1.793459239
1.1346793,0.001550199,0.131243335,0.315848209,-1.647890068
1.341096065,0.001797002,0.183337274,2.60987722,1.582465711
1.254289842,0.015908622,0.160371357,1.916363206,1.758229449
1.31362888,0.042750517,0.175904264,5.493810966,1.94458367
1.282051858,0.079695216,0.16754913,0.094307462,2.085457489
1.22187298,0.123126315,0.152188948,4.825174607,2.320204693
1.28552753,0.168792474,0.168458821,6.099998658,2.405506498
1.231148353,0.212223573,0.154508284,6.220872399,2.613521279
1.335302439,0.249168272,0.181756636,4.956564194,2.825323316
1.254423042,0.276010167,0.16040542,2.756172854,2.906424935
1.183211822,0.290121787,0.142710522,3.13098226,3.133377919
1.287843689,0.290121787,0.169066398,1.344371261,-3.011526659
1.25930837,0.276010167,0.161657245,4.043181289,-2.840383472
1.206655103,0.249168272,0.148421665,2.010842838,-2.80967085
1.297030649,0.212223573,0.171487106,6.032477419,-2.542785317
1.179128874,0.168792474,0.141727309,4.56556204,-2.370604573
1.339956455,0.123126315,0.183025821,2.588378345,-2.331630987
1.204155695,0.079695216,0.147807435,4.678244789,-2.179932487
1.195801148,0.042750517,0.145763546,1.683562229,-1.922235856
1.281450506,0.015908622,0.167391988,2.764125958,-1.771575469
1.166918233,0.001797002,0.138807152,5.864600182,-1.625516616
1.406649537,0.001667018,0.201698565,4.29350362,1.68923793
1.395782656,0.01475789,0.198594212,1.335553017,1.832045204
1.354390413,0.039658206,0.186990152,5.273089381,2.023734427
1.363253111,0.073930552,0.189445367,3.95077016,2.084785615
1.419999413,0.114220112,0.205545192,0.840518968,2.264999194
1.493045018,0.156583061,0.227235823,1.301453324,2.389651456
1.502671711,0.19687262,0.230175563,3.815143487,2.518866153
1.350445937,0.231144966,0.185902572,3.957702077,2.68310292
1.476939358,0.256045283,0.222359823,2.32777455,2.961040106
1.498631152,0.269136154,0.228939381,3.613760075,3.037952053
