t,rpm,PE,uF,EmergP
1.58,126.498117418828,6991.55379284326,0.954854108340401,0.0437982011725155
1.6,126.480765986049,6989.63589622948,0.954723133372452,0.132788477778279
1.62,126.464055973412,6987.78914604693,0.954597000078596,0.220007589652018
1.64,126.447962861956,6986.01080494469,0.95447552338073,0.305408179873785
1.66,126.43246308153,6984.2982428031,0.954358525362735,0.388945040089641
1.68,126.417533973244,6982.64893239372,0.954245834987008,0.470575179090435
1.7,126.403153753461,6981.06044522528,0.95413728782268,0.550263158723888
1.72,126.389301479273,6979.53044756681,0.954032725785014,0.627967776785949
1.74,126.375957015392,6978.05669663992,0.953931996885481,0.703650444728873
1.76,126.363101002393,6976.63703697218,0.95383495499206,0.777277655321304
1.78,126.350714826257,6975.26939690439,0.953741459599312,0.848818406542842
1.8,126.338780589145,6973.95178524446,0.953651375607793,0.91824424715716
1.82,126.32728108136,6972.68228806144,0.953564573112417,0.985529317961529
1.84,126.316199754447,6971.4590656133,0.953480927199379,1.05065038859498
1.86,126.30552069545,6970.28034941114,0.953400317751873,1.09832719764948
1.88,126.295228603072,6969.14443949963,0.953322629270089,1.14030369005781
1.9,126.285308763695,6968.04970173024,0.953247750690261,1.17987825622225
1.92,126.275747027623,6966.99456506382,0.953175575205302,1.23615753134751
1.94,126.266529785953,6965.97751894919,0.953106000090228,1.29019723086537
1.96,126.257643950268,6964.99711101828,0.953038926548875,1.32789850907753
1.98,126.249076933994,6964.05194496964,0.952974259573168,1.35877067104738
2,126.24081663295,6963.14067836791,0.952911907796329,1.38719822508094
2.02,126.232851405827,6962.26202043873,0.952851783345488,1.41318419524932
2.04,126.225170056229,6961.41473004095,0.952793801706147,1.43673438019183
2.06,126.217761815486,6960.59761372709,0.952737881592449,1.45785733590623
2.08,126.210616326148,6959.80952388207,0.95268394482256,1.4765643534681
2.1,126.203723626123,6959.04935693668,0.952631916198965,1.492874959487
2.12,126.197074133443,6958.31605165273,0.952581723393469,1.50680048276796
2.14,126.190658631631,6957.6085874768,0.952533296836713,1.51835989861963
2.16,126.184468255632,6956.92598295981,0.952486569612026,1.52759943452269
2.18,126.178494478303,6956.26729423922,0.952441477353413,1.53467494522959
2.2,126.172729097417,6955.63161358062,0.952397958147461,1.53963113152625
2.22,126.167164223181,6955.01806797772,0.952355952439109,1.54249527287618
2.24,126.16179226624,6954.42581780854,0.952315402941148,1.54329698957398
2.26,126.156605926163,6953.85405554472,0.952276254547238,1.54206817742027
2.28,126.151598180363,6953.30200451189,0.952238454248316,1.5387686755437
2.3,126.14676227329,6952.768917681,0.952201951051031,1.55484417530384
2.32,126.142091704721,6952.25407636087,0.952166695889319,1.55765332952055
2.34,126.137580221684,6951.75678929311,0.952132641563444,1.54741341280903
2.36,126.133221810674,6951.27639178083,0.952099742681288,1.53518229081387
2.38,126.129010686969,6950.81224449719,0.952067955577634,1.52100649281695
2.4,126.124941285711,6950.36373249127,0.952037238246899,1.50493703408975
2.42,126.121008253508,6949.93026425116,0.952007550279725,1.4870233687002
2.44,126.117206440358,6949.51127080363,0.951978852802015,1.46731454146469
2.46,126.113530891887,6949.10620484902,0.951951108416331,1.44586345795672
2.48,126.10997684188,6948.71453992964,0.951924281145539,1.42272436267929
2.5,126.106539705103,6948.33576963062,0.95189833637862,1.39795273206569
2.52,126.103215070404,6947.96940681163,0.951873240818577,1.37160516534324
2.54,126.099998694072,6947.61498286854,0.951848962432329,1.34373927349373
2.56,126.096886493457,6947.27204702362,0.951825470402535,1.31441356654926
2.58,126.093874540831,6946.94016564316,0.951802735081268,1.28368733946696
2.6,126.090959057487,6946.61892158161,0.951780727945465,1.25162055683036
2.62,126.088136408062,6946.30791355089,0.951759421554076,1.21827373662887
2.64,126.08540309508,6946.0067555142,0.951738789506869,1.1837078333693
2.66,126.082755753701,6945.71507610311,0.951718806404795,1.14798412077655
2.68,126.08019114667,6945.43251805709,0.951699447811883,1.11116407434162
2.7,126.07770615947,6945.15873768506,0.951680690218604,1.07297659234173
2.72,126.075297795672,6944.89340435007,0.951662511006816,1.03383715960169
2.74,126.072963172427,6944.63619996918,0.951644888415724,0.993809482412511
2.76,126.070699516131,6944.3868185327,0.95162780150915,0.95295481891607
2.78,126.068504158269,6944.14496564355,0.951611230144165,0.911334037507392
2.8,126.066374531419,6943.91035807426,0.951595154940925,0.869007503856972
2.82,126.064308165405,6943.68272334102,0.951579557253644,0.826034969591518
2.84,126.062302683604,6943.46179929406,0.95156441914269,0.782475462882936
